Species,Color,Country.of.Origin,Continent.of.Origin,Harvest.Year,Processing.Method,Variety
1,1,1,1,2014,1,Other
1,1,1,1,2014,1,Other
1,2,2,2,2012,1,Other
1,1,1,1,2014,2,Other
1,1,3,3,2015,1,Catimor
1,1,4,4,2014,1,Caturra
1,1,5,4,2012,1,Other
1,1,6,2,2011,2,Bourbon
1,1,7,1,2013,1,SL14
1,1,8,3,2015,3,Sumatra
1,1,6,2,2011,2,Bourbon
1,2,4,4,2015,1,Caturra
1,2,9,1,2013,1,SL34
1,1,10,3,2012,1,Caturra
1,1,8,3,2015,4,Bourbon
1,2,9,1,2014,2,SL28
1,2,6,2,2011,4,Bourbon
1,1,11,2,2013,1,Caturra
1,1,9,1,2013,1,SL28
1,2,7,1,2012,1,Other
1,1,12,4,2016,1,Bourbon
1,1,7,1,2013,2,SL14
1,2,11,2,2013,1,Caturra
1,2,13,4,2017,1,Gesha
1,1,12,4,2012,1,Bourbon
1,2,12,4,2012,1,Catuai
1,2,14,4,2013,1,Bourbon
1,1,9,1,2014,2,SL28
1,1,1,1,2015,2,Other
1,1,7,1,2013,1,SL14
1,1,12,4,2013,1,Bourbon
1,1,7,1,2013,1,SL14
1,2,6,2,2011,4,Bourbon
1,1,3,3,2015,2,Catimor
1,1,12,4,2014,2,Pacamara
1,2,4,4,2014,1,Caturra
1,2,4,4,2014,1,Caturra
1,1,9,1,2012,1,SL34
1,1,9,1,2012,1,SL34
1,1,11,2,2015,1,Caturra
1,1,11,2,2014,2,Caturra
1,1,15,3,2012,4,Sumatra Lintong
1,1,1,1,2016,2,Other
1,2,16,4,2014,2,Hawaiian Kona
1,1,11,2,2012,2,Caturra
1,1,7,1,2016,1,SL14
1,1,11,2,2016,1,Caturra
1,1,4,4,2016,1,Catuai
1,1,5,4,2015,1,Typica
1,1,9,1,2012,1,SL34
1,1,6,2,2012,2,Mundo Novo
1,1,11,2,2015,1,Caturra
1,1,8,3,2015,4,Typica
1,1,17,1,2014,1,Other
1,1,11,2,2012,1,Caturra
1,1,6,2,2011,2,Bourbon
1,1,6,2,2011,2,Catuai
1,1,8,3,2016,2,Typica
1,1,7,1,2013,2,SL14
1,1,10,3,2015,3,Caturra
1,1,9,1,2014,1,SL34
1,1,18,4,2014,1,Catuai
1,2,14,4,2016,1,Bourbon
1,1,15,3,2016,1,Java
1,2,4,4,2015,1,Catuai
1,1,12,4,2015,1,Bourbon
1,1,4,4,2014,1,Caturra
1,1,4,4,2014,5,Other
1,1,4,4,2014,1,Catuai
1,1,8,3,2013,1,Typica
1,1,11,2,2013,1,Caturra
1,2,9,1,2012,1,SL28
1,1,12,4,2012,1,Bourbon
1,1,12,4,2012,1,Bourbon
1,2,7,1,2012,1,Other
1,2,11,2,2016,1,Other
1,1,11,2,2016,1,Caturra
1,2,9,1,2013,1,Peaberry
1,1,12,4,2014,1,Pacas
1,1,12,4,2014,1,Bourbon
1,1,9,1,2013,1,SL28
1,1,11,2,2012,1,Caturra
1,2,4,4,2012,4,Bourbon
1,1,11,2,2012,1,Caturra
1,1,6,2,2011,4,Bourbon
1,2,6,2,2011,4,Catuai
1,2,4,4,2017,1,Caturra
1,1,7,1,2016,1,SL14
1,1,3,3,2015,1,Catimor
1,1,4,4,2014,1,Caturra
1,1,11,2,2015,1,Other
1,1,3,3,2013,1,Other
1,1,12,4,2013,1,Bourbon
